"","park","death_cause","death_group","intent","outcome","sex","age_range","activity","incident_date","year"
"1813","Grand Canyon National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","65+","Other",2016-04-15,2016
"1814","Gulf Islands National Seashore","Drowning","Drowning","Unintentional","Fatal Injury","Male","0-14","Swimming",2016-04-16,2016
"1815","Lake Mead National Recreation Area","Medical - Unknown","Medical - Unknown","Medical","Fatal Injury","Male","45-54","Not Reported",2016-04-16,2016
"1816","Shenandoah National Park","Suicide","Suicide","Intentional","Fatal Injury","Female","25-34","Suicide",2016-04-16,2016
"1817","Shenandoah National Park","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","45-54","Bicycling",2016-04-17,2016
"1818","Buffalo National River","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","55-64","Other",2016-04-19,2016
"1819","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","55-64","Diving - Free",2016-04-21,2016
"1820","Gateway National Recreation Area","Suicide","Suicide","Intentional","Fatal Injury","Male","45-54","Suicide",2016-04-21,2016
"1821","Hot Springs National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","35-44","Driving",2016-04-25,2016
"1822","Lake Mead National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Female","45-54","Driving",2016-04-26,2016
"1823","Lake Mead National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","55-64","Driving",2016-04-26,2016
"1824","Great Smoky Mountains National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","55-64","Other",2016-04-27,2016
"1825","Great Smoky Mountains National Park","Fall","Fall","Unintentional","Fatal Injury","Male","55-64","Photographing",2016-04-28,2016
"1826","Natchez Trace Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","65+","Driving",2016-04-29,2016
"1827","Natchez Trace Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","45-54","Driving",2016-04-29,2016
"1828","Natchez Trace Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","65+","Driving",2016-04-29,2016
"1829","Shenandoah National Park","Fall","Fall","Unintentional","Fatal Injury","Male","65+","Hiking",2016-04-30,2016
"1830","Delaware Water Gap National Recreation Area","Poisoning - drugs","Poisoning","Unintentional","Fatal Injury","Male","25-34","Not Reported",2016-04-30,2016
"1831","Denali National Park & Preserve","Fall","Fall","Unintentional","Fatal Injury","Male","15-24","Rock Scrambling",2016-05-01,2016
"1832","Buck Island Reef National Monument","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","55-64","Snorkeling",2016-05-02,2016
"1833","Theodore Roosevelt National Park","Suicide","Suicide","Intentional","Fatal Injury","Male","15-24","Suicide",2016-05-03,2016
"1834","Glacier National Park","Drowning","Drowning","Unintentional","Fatal Injury","Male","25-34","Diving (Land)",2016-05-04,2016
"1835","Glen Canyon National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","45-54","Vessel Related",2016-05-05,2016
"1836","Chattahoochee River National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","15-24","Swimming",2016-05-06,2016
"1837","Blue Ridge Parkway","Drowning","Drowning","Unintentional","Fatal Injury","Male","15-24","Not Reported",2016-05-08,2016
"1838","Lake Roosevelt National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","25-34","Other",2016-05-09,2016
"1839","Channel Islands National Park","Drowning","Drowning","Unintentional","Fatal Injury","Male","55-64","Diving - Scuba",2016-05-11,2016
"1840","Cuyahoga Valley National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","15-24","Driving",2016-05-11,2016
"1841","Great Smoky Mountains National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","65+","Driving",2016-05-11,2016
"1842","Colonial National Historical Park","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","65+","Not Reported",2016-05-11,2016
"1843","Sequoia & Kings Canyon National Parks","Drowning","Drowning","Unintentional","Fatal Injury","Male","45-54","Not Reported",2016-05-12,2016
"1844","Big Bend National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","35-44","Driving",2016-05-12,2016
"1845","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","15-24","Swimming",2016-05-15,2016
"1846","Little River Canyon National Preserve","Drowning","Drowning","Unintentional","Fatal Injury","Male","35-44","Swimming",2016-05-15,2016
"1847","Denali National Park & Preserve","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","65+","Bicycling",2016-05-15,2016
"1848","Grand Canyon National Park","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Female","65+","Walking",2016-05-15,2016
"1849","Big Bend National Park","Fall","Fall","Unintentional","Fatal Injury","Male","15-24","Hiking",2016-05-18,2016
"1850","Yellowstone National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Female","45-54","Walking",2016-05-18,2016
"1851","Sequoia & Kings Canyon National Parks","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","25-34","Other",2016-05-20,2016
"1852","Yosemite National Park","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","45-54","Hiking",2016-05-21,2016
"1853","Gateway National Recreation Area","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","65+","Other",2016-05-21,2016
"1854","Blue Ridge Parkway","Suicide","Suicide","Intentional","Fatal Injury","Male","15-24","Suicide",2016-05-21,2016
"1855","Blue Ridge Parkway","Suicide","Suicide","Intentional","Fatal Injury","Male","25-34","Suicide",2016-05-22,2016
"1856","Delaware Water Gap National Recreation Area","Fall","Fall","Unintentional","Fatal Injury","Male","25-34","Other",2016-05-23,2016
"1857","Lake Mead National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","15-24","Driving",2016-05-24,2016
"1858","Santa Monica Mountains National Recreation Area","Suicide","Suicide","Intentional","Fatal Injury","Female","45-54","Suicide",2016-05-24,2016
"1859","Padre Island National Seashore","Homicide","Homicide","Intentional","Fatal injury","Male","25-34","Homicide",2016-05-25,2016
"1860","Blue Ridge Parkway","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","55-64","Sitting",2016-05-25,2016
"1861","National Mall & Memorial Parks","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","45-54","Not Reported",2016-05-25,2016
"1862","Grand Canyon National Park","Fall","Fall","Unintentional","Fatal Injury","Male","65+","Walking",2016-05-28,2016
"1863","Yosemite National Park","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","45-54","Hiking",2016-05-28,2016
"1864","Denali National Park & Preserve","Skiing Incident","Other Transportation","Unintentional","Fatal Injury","Male","35-44","Skiing",2016-05-28,2016
"1865","Golden Gate National Recreation Area","Suicide","Suicide","Intentional","Fatal Injury","Male","Not Reported","Suicide",2016-05-28,2016
"1866","Glacier Bay National Park & Preserve","Drowning","Drowning","Unintentional","Fatal Injury","Male","45-54","Vessel Related",2016-05-30,2016
"1867","Glacier Bay National Park & Preserve","Drowning","Drowning","Unintentional","Fatal Injury","Male","65+","Vessel Related",2016-05-30,2016
"1868","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","45-54","Vessel Related",2016-06-01,2016
"1869","Grand Canyon National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","65+","Other",2016-06-01,2016
"1870","Chesapeake & Ohio Canal National Historical Park","Suicide","Suicide","Intentional","Fatal Injury","Male","Not Reported","Suicide",2016-06-03,2016
"1871","Baltimore-Washington Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Female","35-44","Driving",2016-06-04,2016
"1872","Great Smoky Mountains National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","65+","Driving",2016-06-05,2016
"1873","Yosemite National Park","Drowning","Drowning","Unintentional","Fatal Injury","Male","55-64","Vessel Related",2016-06-06,2016
"1874","Big South Fork National River and Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","0-14","Swimming",2016-06-06,2016
"1875","Acadia National Park","Fall","Fall","Unintentional","Fatal Injury","Male","65+","Photographing",2016-06-07,2016
"1876","Yellowstone National Park","Fall","Fall","Unintentional","Fatal Injury","Male","15-24","Walking",2016-06-07,2016
"1877","Denali National Park & Preserve","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","15-24","Camping",2016-06-07,2016
"1878","Blue Ridge Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","65+","Driving",2016-06-08,2016
"1879","Glen Canyon National Recreation Area","Electrocution","Other","Unintentional","Fatal Injury","Male","35-44","Vessel Related",2016-06-09,2016
"1880","Death Valley National Park","Hyperthermia","Environmental","Unintentional","Fatal Injury","Male","55-64","Driving",2016-06-09,2016
"1881","Yosemite National Park","Fall","Fall","Unintentional","Fatal Injury","Male","55-64","Photographing",2016-06-11,2016
"1882","Buffalo National River","Drowning","Drowning","Unintentional","Fatal Injury","Female","25-34","Vessel Related",2016-06-12,2016
"1883","Grand Teton National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","55-64","Driving",2016-06-13,2016
"1884","Santa Monica Mountains National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","35-44","Driving",2016-06-13,2016
"1885","Catoctin Mountain Park","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","65+","Hiking",2016-06-14,2016
"1886","George Washington Memorial Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Female","55-64","Driving",2016-06-14,2016
"1887","Rock Creek Park","Suicide","Suicide","Intentional","Fatal Injury","Male","Not Reported","Suicide",2016-06-15,2016
"1888","Denali National Park & Preserve","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","65+","Climbing",2016-06-15,2016
"1889","Golden Gate National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","45-54","Not Reported",2016-06-17,2016
"1890","Yosemite National Park","Drowning","Drowning","Unintentional","Fatal Injury","Male","15-24","Wading",2016-06-18,2016
"1891","Blue Ridge Parkway","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","65+","Eating",2016-06-19,2016
"1892","Great Smoky Mountains National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Female","45-54","Other",2016-06-19,2016
"1893","Grand Teton National Park","Horseback riding incident","Other Transportation","Unintentional","Fatal Injury","Female","65+","Horseback (or mule) riding",2016-06-20,2016
"1894","Sleeping Bear Dunes National Lakeshore","Drowning","Drowning","Unintentional","Fatal Injury","Male","35-44","Diving - Scuba",2016-06-22,2016
"1895","Chattahoochee River National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","15-24","Swimming",2016-06-22,2016
"1896","Mount Rushmore National Memorial","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Female","55-64","Sitting",2016-06-22,2016
"1897","New River Gorge National River","Suicide","Suicide","Intentional","Fatal Injury","Female","25-34","Suicide",2016-06-22,2016
"1898","New River Gorge National River","Suicide","Suicide","Intentional","Fatal Injury","Male","55-64","Suicide",2016-06-22,2016
"1899","Dinosaur National Monument","Drowning","Drowning","Unintentional","Fatal Injury","Female","55-64","Vessel Related",2016-06-24,2016
"1900","Arches National Park","Hyperthermia","Environmental","Unintentional","Fatal Injury","Male","45-54","Hiking",2016-06-25,2016
"1901","Grand Canyon National Park","Fall","Fall","Unintentional","Fatal Injury","Male","15-24","Walking",2016-06-27,2016
"1902","Olympic National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Female","65+","Driving",2016-06-30,2016
"1903","Golden Gate National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","25-34","Not Reported",2016-06-30,2016
"1904","Colonial National Historical Park","Homicide","Homicide","Intentional","Fatal injury","Male","15-24","Homicide",2016-07-01,2016
"1905","Lava Beds National Monument","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","65+","Hiking",2016-07-02,2016
"1906","Acadia National Park","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","35-44","Swimming",2016-07-02,2016
"1907","Natchez Trace Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Female","45-54","Driving",2016-07-02,2016
"1908","Yosemite National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Female","65+","Not Reported",2016-07-03,2016
